player,team,season
Sergi Roberto,FC Barcelona,2018-2019
Ousmane Dembele,FC Barcelona,2018-2019
Lionel Messi,FC Barcelona,2018-2019
Paco Alcacer,FC Barcelona,2018-2019
Luis Suarez,FC Barcelona,2018-2019
Valverde,FC Barcelona,2018-2019
Aspiazu,FC Barcelona,2018-2019
Barbara,FC Barcelona,2018-2019
De la Fuente,FC Barcelona,2018-2019
Jasper Cillessen,FC Barcelona,2019-2020
Inaki Pena,FC Barcelona,2019-2020
Jokin Ezkieta,FC Barcelona,2019-2020
Marc-Andre ter Stegen,FC Barcelona,2019-2020
Chumi,FC Barcelona,2019-2020
Guillem Jaime,FC Barcelona,2019-2020
Jordi Alba,FC Barcelona,2019-2020
Jorge Cuenca,FC Barcelona,2019-2020
Juan Miranda,FC Barcelona,2019-2020
Clement Lenglet,FC Barcelona,2019-2020
Jeison Murillo,FC Barcelona,2019-2020
Nelson Semedo,FC Barcelona,2019-2020
Pique,FC Barcelona,2019-2020
Jean-Clair Todibo,FC Barcelona,2019-2020
Samuel Umtiti,FC Barcelona,2019-2020
Thomas Vermaelen,FC Barcelona,2019-2020
Moussa Wague,FC Barcelona,2019-2020
Arthur,FC Barcelona,2019-2020
Kevin-Prince Boateng,FC Barcelona,2019-2020
Busquets,FC Barcelona,2019-2020
Carles Alena,FC Barcelona,2019-2020
Coutinho,FC Barcelona,2019-2020
Denis Suarez,FC Barcelona,2019-2020
Oriol Busquets,FC Barcelona,2019-2020
Rafinha,FC Barcelona,2019-2020
Ivan Rakitic,FC Barcelona,2019-2020
Riqui Puig,FC Barcelona,2019-2020
Sergi Roberto,FC Barcelona,2019-2020
Arturo Vidal,FC Barcelona,2019-2020
Abel Ruiz,FC Barcelona,2019-2020
Alex Collado,FC Barcelona,2019-2020
Carles Perez,FC Barcelona,2019-2020
Ousmane Dembele,FC Barcelona,2019-2020
Malcom,FC Barcelona,2019-2020
Lionel Messi,FC Barcelona,2019-2020
Luis Suarez,FC Barcelona,2019-2020
Valverde,FC Barcelona,2019-2020
Aspiazu,FC Barcelona,2019-2020
Barbara,FC Barcelona,2019-2020
De la Fuente,FC Barcelona,2019-2020
