player,team,season,type
Laurent Koscielny,France,2012-2013,nation
Jeremy Mathieu,France,2012-2013,nation
Adil Rami,France,2012-2013,nation
Bacary Sagna,France,2012-2013,nation
Mamadou Sakho,France,2012-2013,nation
Benoit Tremoulinas,France,2012-2013,nation
Raphael Varane,France,2012-2013,nation
Mapou Yanga-Mbiwa,France,2012-2013,nation
Kurt Zouma,France,2012-2013,nation
Romain Alessandrini,France,2012-2013,nation
Yohan Cabaye,France,2012-2013,nation
Etienne Capoue,France,2012-2013,nation
Maxime Gonalons,France,2012-2013,nation
Yoann Gourcuff,France,2012-2013,nation
Clement Grenier,France,2012-2013,nation
Josuha Guilavogui,France,2012-2013,nation
Geoffrey Kondogbia,France,2012-2013,nation
Eliaquim Mangala,France,2012-2013,nation
Blaise Matuidi,France,2012-2013,nation
Rio Mavuba,France,2012-2013,nation
Samir Nasri,France,2012-2013,nation
Paul Pogba,France,2012-2013,nation
Franck Ribery,France,2012-2013,nation
Moussa Sissoko,France,2012-2013,nation
Mathieu Valbuena,France,2012-2013,nation
Karim Benzema,France,2012-2013,nation
Olivier Giroud,France,2012-2013,nation
Bafetimbi Gomis,France,2012-2013,nation
Alexandre Lacazette,France,2012-2013,nation
Jeremy Menez,France,2012-2013,nation
Dimitri Payet,France,2012-2013,nation
Loic Remy,France,2012-2013,nation
Didier Deschamps,France,2012-2013,nation
Benoit Costil,France,2013-2014,nation
Mickael Landreau,France,2013-2014,nation
Hugo Lloris,France,2013-2014,nation
Steve Mandanda,France,2013-2014,nation
Stephane Ruffier,France,2013-2014,nation
Mathieu Debuchy,France,2013-2014,nation
Lucas Digne,France,2013-2014,nation
Patrice Evra,France,2013-2014,nation
Christophe Jallet,France,2013-2014,nation
Laurent Koscielny,France,2013-2014,nation
