player,team,season,type
Hernanes,Brazil,2009-2010,nation
Josue,Brazil,2009-2010,nation
Jucilei,Brazil,2009-2010,nation
Julio Baptista,Brazil,2009-2010,nation
Kaka,Brazil,2009-2010,nation
Kleberson,Brazil,2009-2010,nation
Lucas Leiva,Brazil,2009-2010,nation
Michel Bastos,Brazil,2009-2010,nation
Ramires,Brazil,2009-2010,nation
Sandro,Brazil,2009-2010,nation
Wesley,Brazil,2009-2010,nation
Alexandre Pato,Brazil,2009-2010,nation
Andre,Brazil,2009-2010,nation
Diego Tardelli,Brazil,2009-2010,nation
Grafite,Brazil,2009-2010,nation
Luis Fabiano,Brazil,2009-2010,nation
Neymar,Brazil,2009-2010,nation
Nilmar,Brazil,2009-2010,nation
Robinho,Brazil,2009-2010,nation
Ronaldinho,Brazil,2009-2010,nation
Mano Menezes,Brazil,2009-2010,nation
Dunga,Brazil,2009-2010,nation
Jorginho,Brazil,2009-2010,nation
Diego Alves,Brazil,2010-2011,nation
Gomes,Brazil,2010-2011,nation
Jefferson,Brazil,2010-2011,nation
Julio Cesar,Brazil,2010-2011,nation
Neto,Brazil,2010-2011,nation
Victor,Brazil,2010-2011,nation
Adriano,Brazil,2010-2011,nation
Alex Sandro,Brazil,2010-2011,nation
Andre Santos,Brazil,2010-2011,nation
Breno,Brazil,2010-2011,nation
Bruno Cortes,Brazil,2010-2011,nation
Dani Alves,Brazil,2010-2011,nation
Danilo,Brazil,2010-2011,nation
David Luiz,Brazil,2010-2011,nation
Dede,Brazil,2010-2011,nation
Fabio,Brazil,2010-2011,nation
Kleber,Brazil,2010-2011,nation
Lucio,Brazil,2010-2011,nation
Luisao,Brazil,2010-2011,nation
Maicon,Brazil,2010-2011,nation
Marcelo,Brazil,2010-2011,nation
Mario Fernandes,Brazil,2010-2011,nation
Rafael,Brazil,2010-2011,nation
Rever,Brazil,2010-2011,nation
Rhodolfo,Brazil,2010-2011,nation
Thiago Silva,Brazil,2010-2011,nation
Anderson,Brazil,2010-2011,nation
Bruno Cesar,Brazil,2010-2011,nation
Casemiro,Brazil,2010-2011,nation
Cicero,Brazil,2010-2011,nation
Diego Souza,Brazil,2010-2011,nation
Dudu,Brazil,2010-2011,nation
Elano,Brazil,2010-2011,nation
Elias,Brazil,2010-2011,nation
Fernandinho,Brazil,2010-2011,nation
Ganso,Brazil,2010-2011,nation
Henrique,Brazil,2010-2011,nation
Hernanes,Brazil,2010-2011,nation
Jadson,Brazil,2010-2011,nation
Lucas,Brazil,2010-2011,nation
Lucas Leiva,Brazil,2010-2011,nation
Luiz Gustavo,Brazil,2010-2011,nation
Oscar,Brazil,2010-2011,nation
Paulinho,Brazil,2010-2011,nation
Ralf,Brazil,2010-2011,nation
Ramires,Brazil,2010-2011,nation
Renato,Brazil,2010-2011,nation
Renato Augusto,Brazil,2010-2011,nation
Romulo,Brazil,2010-2011,nation
Ronaldinho,Brazil,2010-2011,nation
Sandro,Brazil,2010-2011,nation
Thiago Neves,Brazil,2010-2011,nation
Willian,Brazil,2010-2011,nation
Alexandre Pato,Brazil,2010-2011,nation
Andre,Brazil,2010-2011,nation
Borges,Brazil,2010-2011,nation
Fred,Brazil,2010-2011,nation
Hulk,Brazil,2010-2011,nation
Jonas,Brazil,2010-2011,nation
Leandro Damiao,Brazil,2010-2011,nation
Neymar,Brazil,2010-2011,nation
Nilmar,Brazil,2010-2011,nation
Robinho,Brazil,2010-2011,nation
Ronaldo,Brazil,2010-2011,nation
Mano Menezes,Brazil,2010-2011,nation
Diego Alves,Brazil,2011-2012,nation
Diego Cavalieri,Brazil,2011-2012,nation
Gabriel,Brazil,2011-2012,nation
Jefferson,Brazil,2011-2012,nation
Julio Cesar,Brazil,2011-2012,nation
Neto,Brazil,2011-2012,nation
Rafael,Brazil,2011-2012,nation
Renan Ribeiro,Brazil,2011-2012,nation
Victor,Brazil,2011-2012,nation
Adriano,Brazil,2011-2012,nation
Alex Sandro,Brazil,2011-2012,nation
Bruno Uvini,Brazil,2011-2012,nation
Carlinhos,Brazil,2011-2012,nation
Dani Alves,Brazil,2011-2012,nation
Danilo,Brazil,2011-2012,nation
David Luiz,Brazil,2011-2012,nation
Dede,Brazil,2011-2012,nation
Durval,Brazil,2011-2012,nation
Fabio Santos,Brazil,2011-2012,nation
Juan Jesus,Brazil,2011-2012,nation
Leandro Castan,Brazil,2011-2012,nation
Lucas,Brazil,2011-2012,nation
Luisao,Brazil,2011-2012,nation
Marcelo,Brazil,2011-2012,nation
Rever,Brazil,2011-2012,nation
Thiago Silva,Brazil,2011-2012,nation
Arouca,Brazil,2011-2012,nation
Bernard,Brazil,2011-2012,nation
Casemiro,Brazil,2011-2012,nation
Elias,Brazil,2011-2012,nation
Fernandinho,Brazil,2011-2012,nation
